1000,1,"0,001923",168
1000,1,"0,001283",168
1000,1,"0,001529",168
1000,1,"0,001278",168
1000,1,"0,001280",168
1000,2,"0,001966",168
1000,2,"0,001718",168
1000,2,"0,002327",168
1000,2,"0,001590",168
1000,2,"0,001585",168
1000,4,"0,002011",168
1000,4,"0,001823",168
1000,4,"0,001680",168
1000,4,"0,002149",168
1000,4,"0,002039",168
1000,8,"0,002697",168
1000,8,"0,003802",168
1000,8,"0,003417",168
1000,8,"0,002563",168
1000,8,"0,002776",168
1000000,1,"2,761573",78498
1000000,1,"2,825899",78498
1000000,1,"2,582711",78498
1000000,1,"2,549900",78498
1000000,1,"2,549706",78498
1000000,2,"1,485040",78498
1000000,2,"1,458057",78498
1000000,2,"1,380704",78498
1000000,2,"1,348502",78498
1000000,2,"1,379268",78498
1000000,4,"0,893625",78498
1000000,4,"0,951017",78498
1000000,4,"0,867033",78498
1000000,4,"0,970769",78498
1000000,4,"0,868847",78498
1000000,8,"0,924458",78498
1000000,8,"0,891244",78498
1000000,8,"0,902067",78498
1000000,8,"1,055141",78498
1000000,8,"1,180863",78498
10000000,1,"65,950474",664579
10000000,1,"64,921900",664579
10000000,1,"65,085243",664579
10000000,1,"66,672686",664579
10000000,1,"64,611786",664579
10000000,2,"32,801594",664579
10000000,2,"33,027134",664579
10000000,2,"33,172377",664579
10000000,2,"32,975069",664579
10000000,2,"33,026811",664579
10000000,4,"19,754036",664579
10000000,4,"20,524561",664579
10000000,4,"19,933892",664579
10000000,4,"19,974239",664579
10000000,4,"20,338543",664579
10000000,8,"19,639535",664579
10000000,8,"19,709356",664579
10000000,8,"20,934263",664579
10000000,8,"19,665013",664579
10000000,8,"19,603262",664579
